Album,Artist,Bytes,Sales,City,Company,Composer,Country,CustomerID,Email,FirstName,Genre,InvoiceDate,InvoiceID,LastName,MediaType,Milliseconds,Number of Records,Phone,PostalCode,Quantity,Region,State,Track,UnitPrice
Out Of Exile,Audioslave,8.27M,3.96,Boston,,"Cornell, Commerford, Morello, Wilk",USA,23,johngordon22@yahoo.com,John,Alternative & Punk,1/11/2008 0:00,5,Gordon,MPEG audio file,255529,1,+1 (617) 522-1333,2113,4,North  America,MA,Your Time Has Come,0.99
Out Of Exile,Audioslave,9.00M,3.96,Boston,,"Cornell, Commerford, Morello, Wilk",USA,23,johngordon22@yahoo.com,John,Alternative & Punk,1/11/2008 0:00,5,Gordon,MPEG audio file,278125,1,+1 (617) 522-1333,2113,4,North  America,MA,Dandelion,0.99
Black Sabbath Vol. 4 (Remaster),Black Sabbath,7.65M,3.96,Boston,,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",USA,23,johngordon22@yahoo.com,John,Metal,1/11/2008 0:00,5,Gordon,MPEG audio file,234814,1,+1 (617) 522-1333,2113,4,North  America,MA,Cornucopia,0.99
Chemical Wedding,Bruce Dickinson,13.19M,3.96,Boston,,Roy Z,USA,23,johngordon22@yahoo.com,John,Metal,1/11/2008 0:00,5,Gordon,MPEG audio file,402390,1,+1 (617) 522-1333,2113,4,North  America,MA,Jerusalem,0.99
Prenda Minha,Caetano Veloso,7.22M,4.95,Boston,,Caetano Veloso,USA,23,johngordon22@yahoo.com,John,Latin,1/11/2008 0:00,5,Gordon,MPEG audio file,223111,1,+1 (617) 522-1333,2113,5,North  America,MA,Esse Cara,0.99
Prenda Minha,Caetano Veloso,4.87M,4.95,Boston,,Tom Jobim - Newton MendoÃ§a,USA,23,johngordon22@yahoo.com,John,Latin,1/11/2008 0:00,5,Gordon,MPEG audio file,148793,1,+1 (617) 522-1333,2113,5,North  America,MA,MeditaÃ§Ã£o,0.99
Minha Historia,Chico Buarque,9.50M,1.98,Frankfurt,,,Germany,37,fzimmermann@yahoo.de,Fynn,Latin,1/19/2008 0:00,6,Zimmermann,MPEG audio file,283402,1,+49 069 40598889,60316,2,Europe,,"Bye, Bye Brasil",0.99
Minha Historia,Chico Buarque,4.35M,0.99,Paris,,,France,40,dominiquelefebvre@gmail.com,Dominique,Latin,2/1/2008 0:00,8,Lefebvre,MPEG audio file,132493,1,+33 01 47 42 71 71,75002,1,Europe,,A Banda,0.99
Minha Historia,Chico Buarque,6.13M,0.99,Berlin,,,Germany,38,nschroder@surfeu.de,Niklas,Latin,2/1/2008 0:00,7,Schroeder,MPEG audio file,189675,1,+49 030 2141444,10779,1,Europe,,Atras Da Porta,0.99
Minha Historia,Chico Buarque,5.65M,1.98,Berlin,,,Germany,38,nschroder@surfeu.de,Niklas,Latin,2/1/2008 0:00,7,Schroeder,MPEG audio file,172120,1,+49 030 2141444,10779,2,Europe,,Tatuagem,0.99
Minha Historia,Chico Buarque,6.37M,2.97,Paris,,,France,40,dominiquelefebvre@gmail.com,Dominique,Latin,2/1/2008 0:00,8,Lefebvre,MPEG audio file,186801,1,+33 01 47 42 71 71,75002,3,Europe,,Morena De Angola,0.99
Minha Historia,Chico Buarque,8.78M,0.99,Bordeaux,,,France,42,wyatt.girard@yahoo.fr,Wyatt,Latin,2/2/2008 0:00,9,Girard,MPEG audio file,260257,1,+33 05 56 96 96 96,33000,1,Europe,,Meu Caro Amigo,0.99
Minha Historia,Chico Buarque,5.85M,1.98,Bordeaux,,,France,42,wyatt.girard@yahoo.fr,Wyatt,Latin,2/2/2008 0:00,9,Girard,MPEG audio file,175386,1,+33 05 56 96 96 96,33000,2,Europe,,Com AÃ§Ãºcar E Com Afeto,0.99
Minha Historia,Chico Buarque,5.07M,4.95,Bordeaux,,,France,42,wyatt.girard@yahoo.fr,Wyatt,Latin,2/2/2008 0:00,9,Girard,MPEG audio file,153208,1,+33 05 56 96 96 96,33000,5,Europe,,Gota D'Ã¡gua,0.99
Minha Historia,Chico Buarque,5.46M,4.95,Bordeaux,,,France,42,wyatt.girard@yahoo.fr,Wyatt,Latin,2/2/2008 0:00,9,Girard,MPEG audio file,169717,1,+33 05 56 96 96 96,33000,5,Europe,,Trocando Em MiÃºdos,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,4.42M,0.99,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/2008 0:00,10,O'Reilly,MPEG audio file,132231,1,+353 01 6792424,,1,Europe,Dublin,Sangue De Bairro,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,5.88M,3.96,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/2008 0:00,10,O'Reilly,MPEG audio file,175333,1,+353 01 6792424,,4,Europe,Dublin,Amor De Muito,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,7.38M,3.96,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/2008 0:00,10,O'Reilly,MPEG audio file,221492,1,+353 01 6792424,,4,Europe,Dublin,Maracatu AtÃ´mico [Trip Hop],0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,5.06M,4.95,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/2008 0:00,10,O'Reilly,MPEG audio file,152555,1,+353 01 6792424,,5,Europe,Dublin,Etnia,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,7.54M,4.95,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/2008 0:00,10,O'Reilly,MPEG audio file,227317,1,+353 01 6792424,,5,Europe,Dublin,Samba Do Lado,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,7.96M,4.95,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/2008 0:00,10,O'Reilly,MPEG audio file,240091,1,+353 01 6792424,,5,Europe,Dublin,Sobremesa,0.99
Na Pista,ClÃ¡udio Zoli,7.11M,1.98,London,,,United Kingdom,52,emma_jones@hotmail.com,Emma,Latin,2/6/2008 0:00,11,Jones,MPEG audio file,214595,1,+44 020 7707 0707,N1 5LH,2,Europe,,Livre Pra Viver,0.99
Cidade Negra - Hits,Cidade Negra,8.90M,1.98,London,,Lulu Santos,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/2008 0:00,11,Jones,MPEG audio file,267363,1,+44 020 7707 0707,N1 5LH,2,Europe,,SÃ¡bado A Noite,0.99
Da Lama Ao Caos,Chico Science & NaÃ§Ã£o Zumbi,6.53M,2.97,London,,,United Kingdom,52,emma_jones@hotmail.com,Emma,Latin,2/6/2008 0:00,11,Jones,MPEG audio file,193253,1,+44 020 7707 0707,N1 5LH,3,Europe,,Lixo Do Mangue,0.99
AcÃºstico MTV [Live],Cidade Negra,7.39M,2.97,London,,Bino Farias/Da Gama/LazÃ£o/Toni Garrido,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/2008 0:00,11,Jones,MPEG audio file,221544,1,+44 020 7707 0707,N1 5LH,3,Europe,,JÃ¡ Foi,0.99
Na Pista,ClÃ¡udio Zoli,8.12M,3.96,London,,,United Kingdom,52,emma_jones@hotmail.com,Emma,Latin,2/6/2008 0:00,11,Jones,MPEG audio file,244715,1,+44 020 7707 0707,N1 5LH,4,Europe,,Linha Do Equador,0.99
Da Lama Ao Caos,Chico Science & NaÃ§Ã£o Zumbi,9.10M,4.95,London,,,United Kingdom,52,emma_jones@hotmail.com,Emma,Latin,2/6/2008 0:00,11,Jones,MPEG audio file,271856,1,+44 020 7707 0707,N1 5LH,5,Europe,,Samba Makossa,0.99
AcÃºstico MTV [Live],Cidade Negra,7.66M,4.95,London,,Bernardo Vilhena/Da Gama/LazÃ£o,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/2008 0:00,11,Jones,MPEG audio file,231392,1,+44 020 7707 0707,N1 5LH,5,Europe,,A Cor Do Sol,0.99
AcÃºstico MTV [Live],Cidade Negra,7.40M,4.95,London,,Bino Farias/Da Gama/Henry Lawes/LazÃ£o/Toni Garrido/Winston Foser-Vers,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/2008 0:00,11,Jones,MPEG audio file,222145,1,+44 020 7707 0707,N1 5LH,5,Europe,,Firmamento,0.99
Cidade Negra - Hits,Cidade Negra,7.51M,4.95,London,,Harry Lawes/Winston Foster-Vers,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/2008 0:00,11,Jones,MPEG audio file,225488,1,+44 020 7707 0707,N1 5LH,5,Europe,,Firmamento,0.99
Chill: Brazil (Disc 1),Marcos Valle,5.89M,0.99,Stuttgart,,Nando Reis,Germany,2,leonekohler@surfeu.de,Leonie,Latin,2/11/2008 0:00,12,Kahler,MPEG audio file,176326,1,+49 0711 2842222,70174,1,Europe,,All Star,0.99
BBC Sessions [Disc 1] [Live],Led Zeppelin,20.14M,0.99,Stuttgart,,J B Lenoir/Willie Dixon,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/2008 0:00,12,Kahler,MPEG audio file,619467,1,+49 0711 2842222,70174,1,Europe,,You Shook Me(2),0.99
Greatest Hits II,Queen,8.19M,0.99,Stuttgart,,Queen,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/2008 0:00,12,Kahler,MPEG audio file,248032,1,+49 0711 2842222,70174,1,Europe,,I'm Going Slightly Mad,0.99
AxÃ© Bahia 2001,Various Artists,7.25M,1.98,Stuttgart,,"Do Vale, Valverde/Gal Oliveira/Luciano Pinto",Germany,2,leonekohler@surfeu.de,Leonie,Pop,2/11/2008 0:00,12,Kahler,MPEG audio file,214256,1,+49 0711 2842222,70174,2,Europe,,Lavadeira,0.99
Bongo Fury,Frank Zappa & Captain Beefheart,2.92M,1.98,Stuttgart,,Don Van Vliet,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/2008 0:00,12,Kahler,MPEG audio file,88894,1,+49 0711 2842222,70174,2,Europe,,Man With The Woman Head,0.99
Greatest Kiss,Kiss,8.31M,1.98,Stuttgart,,Paul Stanley,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/2008 0:00,12,Kahler,MPEG audio file,255791,1,+49 0711 2842222,70174,2,Europe,,God Of Thunder,0.99
BBC Sessions [Disc 1] [Live],Led Zeppelin,13.04M,1.98,Stuttgart,,Jimmy Page,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/2008 0:00,12,Kahler,MPEG audio file,401920,1,+49 0711 2842222,70174,2,Europe,,Dazed and Confused,0.99
Chill: Brazil (Disc 2),AntÃ´nio Carlos Jobim,5.57M,2.97,Stuttgart,,VÃ¡rios,Germany,2,leonekohler@surfeu.de,Leonie,Latin,2/11/2008 0:00,12,Kahler,MPEG audio file,170292,1,+49 0711 2842222,70174,3,Europe,,Tanto Tempo,0.99
Chill: Brazil (Disc 2),AntÃ´nio Carlos Jobim,9.07M,2.97,Stuttgart,,VÃ¡rios,Germany,2,leonekohler@surfeu.de,Leonie,Latin,2/11/2008 0:00,12,Kahler,MPEG audio file,270158,1,+49 0711 2842222,70174,3,Europe,,Bumbo Da Mangueira,0.99
Garage Inc. (Disc 1),Metallica,4.87M,2.97,Stuttgart,,Danzig,Germany,2,leonekohler@surfeu.de,Leonie,Metal,2/11/2008 0:00,12,Kahler,MPEG audio file,149315,1,+49 0711 2842222,70174,3,Europe,,Die Die My Darling,0.99
Greatest Kiss,Kiss,7.94M,2.97,Stuttgart,,"Paul Stanley, Vincent Poncia",Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/2008 0:00,12,Kahler,MPEG audio file,242468,1,+49 0711 2842222,70174,3,Europe,,Sure Know Something,0.99
Greatest Hits II,Queen,11.36M,2.97,Stuttgart,,Roger Taylor,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/2008 0:00,12,Kahler,MPEG audio file,343745,1,+49 0711 2842222,70174,3,Europe,,Radio GA GA,0.99
Carnaval 2001,Various Artists,9.45M,2.97,Stuttgart,,,Germany,2,leonekohler@surfeu.de,Leonie,Soundtrack,2/11/2008 0:00,12,Kahler,MPEG audio file,274808,1,+49 0711 2842222,70174,3,Europe,,Leandro De Itaquera 2001,0.99
Chill: Brazil (Disc 1),Marcos Valle,7.53M,4.95,Stuttgart,,J.r.Bertami/Parana,Germany,2,leonekohler@surfeu.de,Leonie,Latin,2/11/2008 0:00,12,Kahler,MPEG audio file,225097,1,+49 0711 2842222,70174,5,Europe,,VÃ´o Sobre o Horizonte,0.99
Heart of the Night,Spyro Gyra,9.85M,3.96,Mountain View,Google Inc.,,USA,16,fharris@google.com,Frank,Jazz,2/19/2008 0:00,13,Harris,MPEG audio file,296124,1,+1 (650) 253-0000,94043-1351,4,North  America,CA,Valentino's,0.99
International Superhits,Green Day,5.48M,0.99,Cupertino,Apple Inc.,Billie Joe Armstrong -Words Green Day -Music,USA,19,tgoyer@apple.com,Tim,Alternative & Punk,3/4/2008 0:00,15,Goyer,MPEG audio file,167262,1,+1 (408) 996-1010,95014,1,North  America,CA,Maria,0.99
Heart of the Night,Spyro Gyra,10.32M,0.99,Redmond,Microsoft Corporation,,USA,17,jacksmith@microsoft.com,Jack,Jazz,3/4/2008 0:00,14,Smith,MPEG audio file,310778,1,+1 (425) 882-8080,98052-8300,1,North  America,WA,Believe,0.99
Heart of the Night,Spyro Gyra,10.43M,1.98,Redmond,Microsoft Corporation,,USA,17,jacksmith@microsoft.com,Jack,Jazz,3/4/2008 0:00,14,Smith,MPEG audio file,316865,1,+1 (425) 882-8080,98052-8300,2,North  America,WA,As We Sleep,0.99
Heart of the Night,Spyro Gyra,9.48M,3.96,Cupertino,Apple Inc.,,USA,19,tgoyer@apple.com,Tim,Jazz,3/4/2008 0:00,15,Goyer,MPEG audio file,288757,1,+1 (408) 996-1010,95014,4,North  America,CA,J Squared,0.99
International Superhits,Green Day,5.95M,0.99,Reno,,Billie Joe Armstrong -Words Green Day -Music,USA,21,kachase@hotmail.com,Kathy,Alternative & Punk,3/5/2008 0:00,16,Chase,MPEG audio file,181629,1,+1 (775) 223-7665,89503,1,North  America,NV,Basket Case,0.99
International Superhits,Green Day,4.43M,2.97,Reno,,Billie Joe Armstrong -Words Green Day -Music,USA,21,kachase@hotmail.com,Kathy,Alternative & Punk,3/5/2008 0:00,16,Chase,MPEG audio file,134164,1,+1 (775) 223-7665,89503,3,North  America,NV,She,0.99
International Superhits,Green Day,4.41M,3.96,Reno,,Billie Joe Armstrong -Words Green Day -Music,USA,21,kachase@hotmail.com,Kathy,Alternative & Punk,3/5/2008 0:00,16,Chase,MPEG audio file,135888,1,+1 (775) 223-7665,89503,4,North  America,NV,Geek Stink Breath,0.99
International Superhits,Green Day,7.71M,4.95,Reno,,Billie Joe Armstrong -Words Green Day -Music,USA,21,kachase@hotmail.com,Kathy,Alternative & Punk,3/5/2008 0:00,16,Chase,MPEG audio file,234083,1,+1 (775) 223-7665,89503,5,North  America,NV,Longview,0.99
International Superhits,Green Day,5.60M,0.99,Madison,,Billie Joe Armstrong -Words Green Day -Music,USA,25,vstevens@yahoo.com,Victor,Alternative & Punk,3/6/2008 0:00,17,Stevens,MPEG audio file,170187,1,+1 (608) 257-0597,53703,1,North  America,WI,Nice Guys Finish Last,0.99
Into The Light,David Coverdale,12.79M,0.99,Madison,,Bossi/David Coverdale/Earl Slick,USA,25,vstevens@yahoo.com,Victor,Rock,3/6/2008 0:00,17,Stevens,MPEG audio file,391549,1,+1 (608) 257-0597,53703,1,North  America,WI,Living On Love,0.99
Into The Light,David Coverdale,11.27M,2.97,Madison,,David Coverdale,USA,25,vstevens@yahoo.com,Victor,Rock,3/6/2008 0:00,17,Stevens,MPEG audio file,347036,1,+1 (608) 257-0597,53703,3,North  America,WI,Don't You Cry,0.99
Into The Light,David Coverdale,7.80M,3.96,Madison,,David Coverdale,USA,25,vstevens@yahoo.com,Victor,Rock,3/6/2008 0:00,17,Stevens,MPEG audio file,239699,1,+1 (608) 257-0597,53703,4,North  America,WI,Wherever You May Go,0.99
International Superhits,Green Day,4.43M,4.95,Madison,,Billie Joe Armstrong -Words Green Day -Music,USA,25,vstevens@yahoo.com,Victor,Alternative & Punk,3/6/2008 0:00,17,Stevens,MPEG audio file,135523,1,+1 (608) 257-0597,53703,5,North  America,WI,Stuck With Me,0.99
International Superhits,Green Day,7.08M,4.95,Madison,,Billie Joe Armstrong -Words Green Day -Music,USA,25,vstevens@yahoo.com,Victor,Alternative & Punk,3/6/2008 0:00,17,Stevens,MPEG audio file,213420,1,+1 (608) 257-0597,53703,5,North  America,WI,Macy's Day Parade,0.99
Meus Momentos,Gonzaguinha,8.28M,1.98,Halifax,,,Canada,31,marthasilk@gmail.com,Martha,Latin,3/9/2008 0:00,18,Silk,MPEG audio file,255921,1,+1 (902) 450-0450,B3S 1C5,2,North  America,NS,"Diga LÃ¡, CoraÃ§Ã£o",0.99
Meus Momentos,Gonzaguinha,6.00M,1.98,Halifax,,Gonzaga Jr,Canada,31,marthasilk@gmail.com,Martha,Latin,3/9/2008 0:00,18,Silk,MPEG audio file,181577,1,+1 (902) 450-0450,B3S 1C5,2,North  America,NS,Comportamento Geral,0.99
MK III The Final Concerts [Disc 1],Deep Purple,20.10M,1.98,Halifax,,Gillan/Glover/Lord/Paice,Canada,31,marthasilk@gmail.com,Martha,Rock,3/9/2008 0:00,18,Silk,MPEG audio file,618031,1,+1 (902) 450-0450,B3S 1C5,2,North  America,NS,Smoke On The Water,0.99
Minha HistÃ³ria,Os Mutantes,12.50M,2.97,Halifax,,Arnaldo Baptista - Rita Lee - SÃ©rgio Dias,Canada,31,marthasilk@gmail.com,Martha,Alternative & Punk,3/9/2008 0:00,18,Silk,MPEG audio file,382981,1,+1 (902) 450-0450,B3S 1C5,3,North  America,NS,Meu Refrigerador NÃ£o Funciona,0.99
Minha Historia,Chico Buarque,8.62M,2.97,Halifax,,,Canada,31,marthasilk@gmail.com,Martha,Latin,3/9/2008 0:00,18,Silk,MPEG audio file,259761,1,+1 (902) 450-0450,B3S 1C5,3,North  America,NS,Podres Poderes,0.99
Minha HistÃ³ria,Os Mutantes,9.48M,3.96,Halifax,,Arnaldo Baptista - Rita Lee -  SÃ©rgio Dias,Canada,31,marthasilk@gmail.com,Martha,Alternative & Punk,3/9/2008 0:00,18,Silk,MPEG audio file,287817,1,+1 (902) 450-0450,B3S 1C5,4,North  America,NS,Ando Meio Desligado,0.99
Minha HistÃ³ria,Os Mutantes,6.41M,3.96,Halifax,,Rita Lee - Arnaldo Baptista - SÃ©rgio Baptista,Canada,31,marthasilk@gmail.com,Martha,Alternative & Punk,3/9/2008 0:00,18,Silk,MPEG audio file,195186,1,+1 (902) 450-0450,B3S 1C5,4,North  America,NS,Vida De Cachorro,0.99
Minha Historia,Chico Buarque,9.95M,3.96,Halifax,,,Canada,31,marthasilk@gmail.com,Martha,Latin,3/9/2008 0:00,18,Silk,MPEG audio file,299676,1,+1 (902) 450-0450,B3S 1C5,4,North  America,NS,Queixa,0.99
